TambonID;TambonThaiShort;TambonEngShort;PostCodeMain;PostCodeAll;PostalCodeRemark;DistrictID;DistrictThaiShort;DistrictEngShort;ProvinceID;ProvinceThai;ProvinceEng;ภูมิภาคอย่างเป็นทางการ
103004;จอมพล;Chom Phon;10900;10900;;1030;จตุจักร;Chatuchak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103005;จตุจักร;Chatuchak;10900;10900;;1030;จตุจักร;Chatuchak;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103101;บางคอแหลม;Bang Kho Laem;10120;10120;;1031;บางคอแหลม;Bang Kho Laem;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103102;วัดพระยาไกร;Wat Phraya Krai;10120;10120;;1031;บางคอแหลม;Bang Kho Laem;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103103;บางโคล่;Bang Khlo;10120;10120;;1031;บางคอแหลม;Bang Kho Laem;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103201;ประเวศ;Prawet;10250;10250;;1032;ประเวศ;Prawet;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103202;หนองบอน;Nong Bon;10250;10250;;1032;ประเวศ;Prawet;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103203;ดอกไม้;Dok Mai;10250;10250;;1032;ประเวศ;Prawet;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103301;คลองเตย;Khlong Toei;10110;10110;;1033;คลองเตย;Khlong Toei;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103302;คลองตัน;Khlong Tan;10110;10110;;1033;คลองเตย;Khlong Toei;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103303;พระโขนง;Phra Khanong;10110;10110/10260;ถนนสุขุมวิท ซอย 48/1, 48/2, 48/3, 48/4, 50 และถนนริมทางรถไฟเก่า หมู่ 1<บ้านเลขที่เลขคี่ ตั้งแต่ 6021-6689 และบ้านเลขที่เลขคู่ ตั้งแต่ 1928-2422> ใช้รหัส 10260;1033;คลองเตย;Khlong Toei;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103401;สวนหลวง;Suan Luang;10250;10250;;1034;สวนหลวง;Suan Luang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103402;อ่อนนุช;On Nut;10250;10250;;1034;สวนหลวง;Suan Luang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103403;พัฒนาการ;Phatthanakan;10250;10250;;1034;สวนหลวง;Suan Luang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103501;บางขุนเทียน;Bang Khun Thian;10150;10150;;1035;จอมทอง;Chom Thong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103502;บางค้อ;Bang Kho;10150;10150;;1035;จอมทอง;Chom Thong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103503;บางมด;Bang Mot;10150;10150;;1035;จอมทอง;Chom Thong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103504;จอมทอง;Chom Thong;10150;10150;;1035;จอมทอง;Chom Thong;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103602;สีกัน;Si Kan;10210;10210;;1036;ดอนเมือง;Don Mueang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103604;ดอนเมือง;Don Mueang;10210;10210;;1036;ดอนเมือง;Don Mueang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103605;สนามบิน;Sanam Bin;10210;10210;;1036;ดอนเมือง;Don Mueang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103701;ทุ่งพญาไท;Thung Phaya Thai;10400;10400;;1037;ราชเทวี;Ratchathewi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103702;ถนนพญาไท;Thanon Phaya Thai;10400;10400;;1037;ราชเทวี;Ratchathewi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103703;ถนนเพชรบุรี;Thanon Phetchaburi;10400;10400;;1037;ราชเทวี;Ratchathewi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103704;มักกะสัน;Makkasan;10400;10400;;1037;ราชเทวี;Ratchathewi;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103801;ลาดพร้าว;Lat Phrao;10230;10230;;1038;ลาดพร้าว;Lat Phrao;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103802;จรเข้บัว;Chorakhe Bua;10230;10230;;1038;ลาดพร้าว;Lat Phrao;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103901;คลองเตยเหนือ;Khlong Toei Nuea;10110;10110;;1039;วัฒนา;Vadhana;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103902;คลองตันเหนือ;Khlong Tan Nuea;10110;10110;;1039;วัฒนา;Vadhana;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
103903;พระโขนงเหนือ;Phra Khanong Nuea;10110;10110/10260;เฉพาะ ถนนสุขุมวิท ซอย 73, 75, 75/1, 77<บ้านเลขที่เป็นเลขคี่ ตั้งแต่ 1-299 และบ้านเลขที่เป็นเลขคู่ ตั้งแต่ 2-252> และสุขุมวิท ซอย 77/1, 79, 81 ใช้รหัส 10260;1039;วัฒนา;Vadhana;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104001;บางแค;Bang Khae;10160;10160;;1040;บางแค;Bang Khae;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104002;บางแคเหนือ;Bang Khae Nuea;10160;10160;;1040;บางแค;Bang Khae;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104003;บางไผ่;Bang Phai;10160;10160;;1040;บางแค;Bang Khae;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104004;หลักสอง;Lak Song;10160;10160;;1040;บางแค;Bang Khae;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104101;ทุ่งสองห้อง;Thung Song Hong;10210;10210;;1041;หลักสี่;Lak Si;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104102;ตลาดบางเขน;Talat Bang Khen;10210;10210;;1041;หลักสี่;Lak Si;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104201;สายไหม;Sai Mai;10220;10220;;1042;สายไหม;Sai Mai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104202;ออเงิน;O Ngoen;10220;10220;;1042;สายไหม;Sai Mai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104203;คลองถนน;Khlong Thanon;10220;10220;;1042;สายไหม;Sai Mai;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104301;คันนายาว;Khan Na Yao;10230;10230;;1043;คันนายาว;Khan Na Yao;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104302;รามอินทรา;Ram Inthra;10230;10230;;1043;คันนายาว;Khan Na Yao;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104401;สะพานสูง;Saphan Sung;10240;10240/10250;หมู่ 12-17 ใช้รหัส 10250;1044;สะพานสูง;Saphan Sung;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104402;ราษฎร์พัฒนา;Rat Phatthana;10240;10240;;1044;สะพานสูง;Saphan Sung;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104403;ทับช้าง;Thap Chang;10250;10250;;1044;สะพานสูง;Saphan Sung;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104501;วังทองหลาง;Wang Thonglang;10310;10310;เฉพาะ ถนนลาดพร้าว ฝั่งที่เป็นเลขคู่ตั้งแต่ ลาดพร้าว 48/1 ถึง ลาดพร้าว 84;1045;วังทองหลาง;Wang Thonglang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
104502;สะพานสอง;Saphan Song;10310;10310;เฉพาะ ถนนลาดพร้าว ฝั่งที่เป็นเลขคี่ตั้งแต่ ลาดพร้าว 45/1 ถึง ลาดพร้าว 71;1045;วังทองหลาง;Wang Thonglang;10;กรุงเทพมหานคร;Bangkok;ภาคกลาง
